bar,beer,price
Summit Brewing Company,Imperial Stout,8.4
Summit Brewing Company,Clipper Gold Hefeweizen,8.37
Core Brewing & Distilling Company,Whistling Pig Hefeweizen,7.21
Core Brewing & Distilling Company,Oatmeal Stout,6.81
Core Brewing & Distilling Company,Rye,5.52
Core Brewing & Distilling Company,Ambrosia Maibock,7.47
Core Brewing & Distilling Company,Trumpeter,8.04
Core Brewing & Distilling Company,Icebreaker Barley Wine,5.12
Core Brewing & Distilling Company,Scarlet Fire IPA,8.27
Core Brewing & Distilling Company,Cream Stout,6.88
Core Brewing & Distilling Company,The Immortal IPA,6.39
Core Brewing & Distilling Company,BiFrÃ¶st Winter Ale,5.9
Independence Brewing Company,Deep Powder Winter Ale,6.45
Independence Brewing Company,Lighthouse Ale,4.96
Independence Brewing Company,Dry Hopped IPA,7.24
Independence Brewing Company,Amber Ale,7.35
Independence Brewing Company,Red Menace Big Amber,8.48
Independence Brewing Company,Yellowjacket Pale Ale,4.66
Independence Brewing Company,Portage Bay Pilsener,5.75
Independence Brewing Company,Barnstormer Brown Ale,4.89
Independence Brewing Company,AK-47 Malt Liquor,8.98
Independence Brewing Company,Grand Cru,8.98
Cigar City Brewing Company,Jolly Roger,8.35
Cigar City Brewing Company,India Pale Ale,7.28
Cigar City Brewing Company,IPA,4.63
Cigar City Brewing Company,Pyramid Amber Weizen,4.67
Cigar City Brewing Company,Pale Ale,8.39
Cigar City Brewing Company,Alki Ale,4.66
Cigar City Brewing Company,Poseidon Imperial Stout,6.64
Cigar City Brewing Company,Snow Cap,7.12
Cigar City Brewing Company,Pale Ale,5.31
Cigar City Brewing Company,Heat Seeker Hefe,6.98
Third Street Brewhouse,Imperial Stout,6.59
Third Street Brewhouse,Slam Dunkelweizen,4.8
Third Street Brewhouse,Ambrosia Maibock,5.64
Third Street Brewhouse,Maibock,5.18
Third Street Brewhouse,Foster Child Australian Lager,5.82
Third Street Brewhouse,India Pale Ale,8.87
Third Street Brewhouse,India Pale Ale,7.78
Third Street Brewhouse,Prime Time Pale Ale,5.87
Third Street Brewhouse,Double Diamond Winter,6.11
Third Street Brewhouse,Extra Special Bitter,7.13
Narragansett Brewing Company,Lava Rock Porter,7.73
Narragansett Brewing Company,Pyramid Apricot Weizen,7.64
Narragansett Brewing Company,Del Rio Lager,7.98
Narragansett Brewing Company,Snow Melt Nitrogen Pale,8.25
Narragansett Brewing Company,India Pale Ale,8.65
Narragansett Brewing Company,Humbles Blond Ale,5.94
Narragansett Brewing Company,El Jefe Weizen Ale,6.35
Narragansett Brewing Company,Industrial IPA,8.42
Narragansett Brewing Company,Barnstormer Brown Ale,4.7
Narragansett Brewing Company,DPA,9.03
Grimm Brothers Brewhouse,Firkin IPA,4.55
Grimm Brothers Brewhouse,Sick Duck Imperial Stout,8.03
Grimm Brothers Brewhouse,Skibbereen Stout,7.15
Grimm Brothers Brewhouse,Weissbier,9.48
Grimm Brothers Brewhouse,Spitfire Best Bitter,8.44
Grimm Brothers Brewhouse,Luna Weizen,7.27
Grimm Brothers Brewhouse,Elysian Fields Pale Ale,5.41
Grimm Brothers Brewhouse,Snow Cap,8.77
Grimm Brothers Brewhouse,Apricot Weizen Ale,5.41
Grimm Brothers Brewhouse,Auld Acquaintance Spiced Ale,5.06
Cisco Brewers,Clipper Gold Hefeweizen,7.27
Cisco Brewers,Gale Force IPA,5.98
Cisco Brewers,Point Defiance IPA,5.54
Cisco Brewers,No Doubt Stout,5.11
Cisco Brewers,Danger Ale,7.55
Cisco Brewers,Hefeweizen,5.79
Cisco Brewers,Golden,6.88
Cisco Brewers,Amber Weizen,6.07
Cisco Brewers,Industrial IPA,4.58
Cisco Brewers,Pyramid Thunderhead IPA,8.92
Angry Minnow,Steamer Glide Stout,6.42
Angry Minnow,Pale Ale,6.72
Angry Minnow,Danger Ale,7.81
Angry Minnow,Tilted Kilt Ale,9.31
Angry Minnow,Old Woody 2005,9.3
Angry Minnow,Old Seattle Lager,5.81
Angry Minnow,Troll Porter,7.15
Angry Minnow,Pale Ale,7.41
Angry Minnow,Irish Style Ale,8.99
Angry Minnow,Farm Frog,8.49
Platform Beer Company,LaConner Pilsener,8.31
Platform Beer Company,Poseidon Imperial Stout,5.68
Platform Beer Company,BÃªte Blanche,9.29
Platform Beer Company,Amber Ale,6.98
Platform Beer Company,Possession Porter,6.7
Platform Beer Company,Avatar Jasmine IPA,9.14
Platform Beer Company,Steamer Glide Stout,8.19
Platform Beer Company,Hefe Weizen,5.2
Platform Beer Company,Pyramid Broken Rake,6.87
Platform Beer Company,Driftwood Ale,7.19
Odyssey Beerwerks,Bhagwan's Best IPA,9.14
Odyssey Beerwerks,Pyramid Thunderhead IPA,7.75
Odyssey Beerwerks,Whoville Weizenbock,7.31
Odyssey Beerwerks,Possession Porter,6.31
Odyssey Beerwerks,Scarlet Fire IPA,5.68
Odyssey Beerwerks,Lava Rock Porter,7.53
Odyssey Beerwerks,Rye,8.69
Odyssey Beerwerks,Cyclops Barleywine,6.26
Odyssey Beerwerks,Portage Bay Pilsener,5.99
Odyssey Beerwerks,India Pale Ale,8.04
Lonerider Brewing Company,Blind Pig Dunkelweizen,9.32
Lonerider Brewing Company,Vashon Old Stock Ale,5.61
Lonerider Brewing Company,Pyramid Amber Weizen,7.08
Lonerider Brewing Company,Tilted Kilt Ale,8.64
Lonerider Brewing Company,Fauntleroy Stout,6.96
Lonerider Brewing Company,Golden,7.9
Lonerider Brewing Company,Foster Child Australian Lager,6.19
Lonerider Brewing Company,Imperial Stout,8.09
Lonerider Brewing Company,Perseus Porter,6.14
Lonerider Brewing Company,Puget Brown Porter,6.33
Oakshire Brewing,Irish Stout,6.86
Oakshire Brewing,Snow Cap,5.67
Oakshire Brewing,Salmon Bay E.S.B.,6.95
Oakshire Brewing,Islander Pale Ale,8.71
Oakshire Brewing,Krystal Weizen,4.86
Oakshire Brewing,India Pale Ale,5.72
Oakshire Brewing,Point Defiance IPA,7.15
Oakshire Brewing,Blind Pig Dunkelweizen,7.64
Oakshire Brewing,India Pale Ale,5.63
Oakshire Brewing,Catalina Common Lager,6.69
Fort Pitt Brewing Company,10 Squared (10Â²),6.32
Fort Pitt Brewing Company,Pyramid Thunderhead IPA,6.33
Fort Pitt Brewing Company,Faux Paddy Irish Ale,7.96
Fort Pitt Brewing Company,Tacoma Brew,8.42
Fort Pitt Brewing Company,Nut Brown Ale,6.48
Fort Pitt Brewing Company,Mongoose IPA,6.1
Fort Pitt Brewing Company,Dry Hopped IPA,7.39
Fort Pitt Brewing Company,Irish Style Ale,5.87
Fort Pitt Brewing Company,Zephyrus Pilsner,5.45
Fort Pitt Brewing Company,Danger Ale,9.01
Tin Roof Brewing Company,Islander Pale Ale,5.27
Tin Roof Brewing Company,Pale Ale,7.69
Tin Roof Brewing Company,Mongoose IPA,7.75
Tin Roof Brewing Company,Pinnacle Peak Pale Ale,9.16
Tin Roof Brewing Company,Two Frog Dubbel,8.42
Tin Roof Brewing Company,Elysian Fields Pale Ale,5.06
Tin Roof Brewing Company,XXXXX Stout,8.97
Tin Roof Brewing Company,Baron Schwarzbier,8.17
Tin Roof Brewing Company,Golden,5.63
Tin Roof Brewing Company,Brown's Point ESB,5.41
Three Creeks Brewing,IPA,4.58
Three Creeks Brewing,SunRye,8.42
Three Creeks Brewing,Maibock,6.37
Three Creeks Brewing,Black Mulligan Dublin Stout,9.22
Three Creeks Brewing,Moss Bay Extra,9.22
Three Creeks Brewing,Winterhook Robust Winter Ale 1993,7.59
Three Creeks Brewing,Nightwatch Dark Ale,4.84
Three Creeks Brewing,Troll Porter,8.04
Three Creeks Brewing,Penitentiary Porter,7.74
Three Creeks Brewing,Yellowjacket Pale Ale,7.47
2 Towns Ciderhouse,Spiced Ale,5.71
2 Towns Ciderhouse,India Pale Ale,7.24
2 Towns Ciderhouse,Sick Duck Imperial Stout,7.57
2 Towns Ciderhouse,India Pale Ale,7.92
2 Towns Ciderhouse,Icebreaker Barley Wine,4.77
2 Towns Ciderhouse,Blonde Ale,6.35
2 Towns Ciderhouse,Maibock,6.47
2 Towns Ciderhouse,Pyramid Amber Weizen,8.23
2 Towns Ciderhouse,Penitentiary Porter,8.61
2 Towns Ciderhouse,Humbles Blond Ale,5.04
Caldera Brewing Company,Wheat Beer,4.66
Caldera Brewing Company,Elysian Fields Pale Ale,5.99
Caldera Brewing Company,Admiral ESB,8.89
Caldera Brewing Company,Doppel Bock,7.78
Caldera Brewing Company,El Jefe Weizen Ale,8.21
Caldera Brewing Company,Mongoose IPA,5.95
Caldera Brewing Company,Golden,5.75
Caldera Brewing Company,Amber Ale,6.29
Caldera Brewing Company,Alki Ale,9.49
Caldera Brewing Company,Skibbereen Stout,5.29
Greenbrier Valley Brewing Company,Spitfire Best Bitter,6.87
Greenbrier Valley Brewing Company,WinterFish Ale,4.91
Greenbrier Valley Brewing Company,Weisse,5.96
Greenbrier Valley Brewing Company,India Pale Ale,8.6
Greenbrier Valley Brewing Company,Bourbon Barrel Stout,7.87
Greenbrier Valley Brewing Company,Lighthouse Ale,9.27
Greenbrier Valley Brewing Company,N.W. Pale Ale,8.54
Greenbrier Valley Brewing Company,Highwater Porter,9.3
Greenbrier Valley Brewing Company,Pyramid Apricot Weizen,8.96
Greenbrier Valley Brewing Company,Atlas Amber Ale,5.16
Phoenix Ale Brewery,Penitentiary Porter,5.51
Phoenix Ale Brewery,ESB,8.19
Phoenix Ale Brewery,Hoptoberfest,4.52
Phoenix Ale Brewery,Leviathan 2004,5.83
Phoenix Ale Brewery,Pilsner,8.71
Phoenix Ale Brewery,IPA,5.9
Phoenix Ale Brewery,Traditional ESB,4.86
Phoenix Ale Brewery,Extra Special Bitter,6.46
Phoenix Ale Brewery,Nut Brown Ale,4.68
Phoenix Ale Brewery,Riot Ale,9.16
Lumberyard Brewing Company,Maibock,9.01
Lumberyard Brewing Company,Krystal Weizen,7.72
Lumberyard Brewing Company,Three Threads Porter,7.01
Lumberyard Brewing Company,XXXXX Stout,7.94
Lumberyard Brewing Company,Porter,5.45
Lumberyard Brewing Company,Drawbridge Blonde,4.57
Lumberyard Brewing Company,Mudshark Porter,6.66
Lumberyard Brewing Company,Imperial Stout,8.01
Lumberyard Brewing Company,Fauntleroy Stout,7.48
Lumberyard Brewing Company,Kilt Lifter Scotch Ale,7.8
Uinta Brewing Company,Mt. Takhoma Blonde Ale,8.62
Uinta Brewing Company,Salmon Bay E.S.B.,4.82
Uinta Brewing Company,Blind Pig Dunkelweizen,8.12
Uinta Brewing Company,Extra Special Bitter,8.95
Uinta Brewing Company,India Pale Ale,5.18
Uinta Brewing Company,Red Menace Big Amber,8.02
Uinta Brewing Company,Sick Duck Imperial Stout,6.33
Uinta Brewing Company,Organic India Pale Ale,6.77
Uinta Brewing Company,Porter,8.83
Uinta Brewing Company,Slam Dunkelweizen,4.85
Four Peaks Brewing Company,Highwater Porter,4.58
Four Peaks Brewing Company,Amber Weizen,8.86
Four Peaks Brewing Company,Silk Lady,5.92
Four Peaks Brewing Company,Organic India Pale Ale,7.31
Four Peaks Brewing Company,Penitentiary Porter,9.27
Four Peaks Brewing Company,Hart Espresso Stout,9.11
Four Peaks Brewing Company,LaConner Pilsener,8.94
Four Peaks Brewing Company,Alembic Pale,7.49
Four Peaks Brewing Company,Organic India Pale Ale,5.67
Four Peaks Brewing Company,Drawbridge Blonde,9.35
Martin House Brewing Company,Spring Bock,6.01
Martin House Brewing Company,Organic Amber Ale,9.2
Martin House Brewing Company,Moss Bay Extra,6.21
Martin House Brewing Company,Snow Cap,8.8
Martin House Brewing Company,Catalina Common Lager,7.07
Martin House Brewing Company,Monkfish Tripel,5.52
Martin House Brewing Company,Sick Duck Imperial Stout,6.11
Martin House Brewing Company,Amber Weizen,5.2
Martin House Brewing Company,Old Bawdy 2006,7.18
Martin House Brewing Company,India Pale Ale,6.1
Right Brain Brewery,Heat Seeker Hefe,8.76
Right Brain Brewery,Homeport Blonde,4.74
Right Brain Brewery,India Pale Ale,5.82
Right Brain Brewery,Baron Pilsner,6.24
Right Brain Brewery,Ambrosia Maibock,9.35
Right Brain Brewery,Dutch Girl Lager,8.77
Right Brain Brewery,The Immortal IPA,7.02
Right Brain Brewery,Blonde Ale,8.13
Right Brain Brewery,Amber Ale,7.69
Right Brain Brewery,Hefeweizen,7.08
Sly Fox Brewing Company,Skibbereen Stout,9.4
Sly Fox Brewing Company,Moss Bay Extra,9.02
Sly Fox Brewing Company,Skibbereen Stout,9.33
Sly Fox Brewing Company,Porter,5.28
Sly Fox Brewing Company,Spiced Ale,9.41
Sly Fox Brewing Company,Highwater Porter,7.31
Sly Fox Brewing Company,DPA,5.13
Sly Fox Brewing Company,Baron Pilsner,5.36
Sly Fox Brewing Company,Homeport Blonde,5.46
Sly Fox Brewing Company,Silk Lady,4.94
Round Guys Brewing,Snow Cap,9.43
Round Guys Brewing,Tacoma Brew,6.45
Round Guys Brewing,Oak Stout,5.85
Round Guys Brewing,Pale Ale,8.96
Round Guys Brewing,Barnstormer Brown Ale,7.59
Round Guys Brewing,Lava Rock Porter,9.13
Round Guys Brewing,XXXXX Stout,4.96
Round Guys Brewing,Trombipulator,7.33
Round Guys Brewing,India Pale Ale,5.31
Round Guys Brewing,Catalina Common Lager,5.38
Great Crescent Brewery,Double Diamond Winter,8.33
Great Crescent Brewery,Pyramid Hefe Weizen,9.38
Great Crescent Brewery,Light,6.21
Great Crescent Brewery,Vashon Old Stock Ale,8.67
Great Crescent Brewery,WinterFish Ale,7.07
Great Crescent Brewery,Elysian Fields Pale Ale,8.89
Great Crescent Brewery,Nut Brown Ale,8.96
Great Crescent Brewery,Driftwood Ale,7.59
Great Crescent Brewery,Sick Duck Imperial Stout,8.56
Great Crescent Brewery,Zephyrus Pilsner,8.57
Oskar Blues Brewery,India Pale Ale,4.68
Oskar Blues Brewery,Deep Powder Winter Ale,8.61
Oskar Blues Brewery,Nebraska Bitter,6.35
Oskar Blues Brewery,Golden,4.62
Oskar Blues Brewery,The Wise ESB,5.89
Oskar Blues Brewery,Gale Force IPA,7.55
Oskar Blues Brewery,Point Defiance IPA,5.1
Oskar Blues Brewery,India Pale Ale,8.07
Oskar Blues Brewery,Islander Pale Ale,8.75
Oskar Blues Brewery,Alki Ale,5.52
Boxcar Brewing Company,Poseidon Imperial Stout,5.95
Boxcar Brewing Company,Baron Helles Bock,4.64
Boxcar Brewing Company,Mongoose IPA,7.85
Boxcar Brewing Company,XXXXX Stout,6.01
Boxcar Brewing Company,Imperial Stout,5.48
Boxcar Brewing Company,Black Hook Porter,8.78
Boxcar Brewing Company,Blonde Ale,6.04
Boxcar Brewing Company,Golden,7.05
Boxcar Brewing Company,Curve Ball,9.25
Boxcar Brewing Company,Moss Bay Extra,8.9
High Hops Brewery,Barley Wine Ale,8.73
High Hops Brewery,Gale Force IPA,6.22
High Hops Brewery,Clipper Gold Hefeweizen,8.44
High Hops Brewery,Porter,5.66
High Hops Brewery,Bock,6.98
High Hops Brewery,Blonde Ale,7.62
High Hops Brewery,Gale Force IPA,6.83
High Hops Brewery,Perseus Porter,4.64
High Hops Brewery,Organic Amber Ale,5.48
High Hops Brewery,Alki Ale,9.02
Crooked Fence Brewing Company,Possession Porter,5.88
Crooked Fence Brewing Company,Spring Bock,6.12
Crooked Fence Brewing Company,Amber Weizen,9.1
Crooked Fence Brewing Company,Barley Wine Ale,5.21
Crooked Fence Brewing Company,Peacemaker Porter,8.14
Crooked Fence Brewing Company,Black Mulligan Dublin Stout,4.6
Crooked Fence Brewing Company,Admiral ESB,5.11
Crooked Fence Brewing Company,Flagship Red Alt Ale,9.27
Crooked Fence Brewing Company,Pyramid Amber Weizen,9.36
Crooked Fence Brewing Company,Hart Espresso Stout,5.41
Everybody's Brewing,Baron Helles Bock,7.02
Everybody's Brewing,Cyclops Barleywine,6.92
Everybody's Brewing,Castaway Barley Wine Winter Ale,7.39
Everybody's Brewing,Hefeweizen,5.23
Everybody's Brewing,Red Menace Big Amber,6.55
Everybody's Brewing,Icebreaker Barley Wine,7.02
Everybody's Brewing,Pyramid Amber Weizen,6.55
Everybody's Brewing,Bock,7.61
Everybody's Brewing,Grand Cru,5.29
Everybody's Brewing,India Pale Ale,8.19
Anderson Valley Brewing Company,Blind Pig Dunkelweizen,4.88
Anderson Valley Brewing Company,Skagit Brown Ale,4.72
Anderson Valley Brewing Company,Old Seattle Lager,4.77
Anderson Valley Brewing Company,Doppel Bock,6.6
Anderson Valley Brewing Company,Skagit Brown Ale,9.28
Anderson Valley Brewing Company,Deep Powder Winter Ale,7.48
Anderson Valley Brewing Company,Scarlet Fire IPA,7.15
Anderson Valley Brewing Company,Weisse,6.3
Anderson Valley Brewing Company,Snow Cap,9.08
Anderson Valley Brewing Company,Perseus Porter,4.65
Fiddlehead Brewing Company,Avatar Jasmine IPA,7.6
Fiddlehead Brewing Company,Organic India Pale Ale,9.28
Fiddlehead Brewing Company,Irish Stout,7.98
Fiddlehead Brewing Company,Flagship Red Alt Ale,8.99
Fiddlehead Brewing Company,Luna Weizen,6.02
Fiddlehead Brewing Company,Hart Espresso Stout,6.57
Fiddlehead Brewing Company,Doppel Bock,8.77
Fiddlehead Brewing Company,Barnstormer Brown Ale,9.28
Fiddlehead Brewing Company,Brown's Point ESB,4.52
Fiddlehead Brewing Company,Heat Seeker Hefe,7.95
Evil Twin Brewing,Warminster Special Bitter,4.7
Evil Twin Brewing,Nut Brown Ale,6.15
Evil Twin Brewing,Nut Brown,6.09
Evil Twin Brewing,Ambrosia Maibock,7.26
Evil Twin Brewing,Loki,6.33
Evil Twin Brewing,Red Menace Big Amber,4.51
Evil Twin Brewing,Golden,4.99
Evil Twin Brewing,Oktoberfest,8.48
Evil Twin Brewing,Hefe Weizen,6.09
Evil Twin Brewing,Prime Time Pale Ale,8.3
New Orleans Lager & Ale Brewing ...,Deep Powder Winter Ale,7.12
New Orleans Lager & Ale Brewing ...,Wheat Beer,5.49
New Orleans Lager & Ale Brewing ...,Tilted Kilt Ale,8.16
New Orleans Lager & Ale Brewing ...,Krystal Weizen,8.5
New Orleans Lager & Ale Brewing ...,Trumpeter,5.7
New Orleans Lager & Ale Brewing ...,ESB,5.58
New Orleans Lager & Ale Brewing ...,Pale Ale,5.24
New Orleans Lager & Ale Brewing ...,Driftwood Ale,5.37
New Orleans Lager & Ale Brewing ...,Golden,5.12
New Orleans Lager & Ale Brewing ...,IPA,5.9
Spiteful Brewing Company,Pyramid Hefe Weizen,6.02
Spiteful Brewing Company,Best Bitter,7.31
Spiteful Brewing Company,Old Woody 2005,9.08
Spiteful Brewing Company,Kirkland Ale,9.2
Spiteful Brewing Company,BÃªte Blanche,9.12
Spiteful Brewing Company,Weisse,7.64
Spiteful Brewing Company,Islander Pale Ale,9.3
Spiteful Brewing Company,Irish Stout,6.15
Spiteful Brewing Company,Rye,5.82
Spiteful Brewing Company,Old Bawdy 2006,7.31
Rahr & Sons Brewing Company,Snow Cap,5.82
Rahr & Sons Brewing Company,Pyramid Apricot Weizen,4.59
Rahr & Sons Brewing Company,Barnstormer Brown Ale,6.09
Rahr & Sons Brewing Company,Pseudo Lambic Framboise,6.35
Rahr & Sons Brewing Company,Old Rip Oatmeal Stout,6.14
Rahr & Sons Brewing Company,Silk Lady,6.79
Rahr & Sons Brewing Company,Doppel Bock,7.1
Rahr & Sons Brewing Company,Pyramid Thunderhead IPA,7.05
Rahr & Sons Brewing Company,Blonde Ale,8.37
Rahr & Sons Brewing Company,Winterhook Robust Winter Ale 1993,6.56
18th Street Brewery,Prime Time Pale Ale,8.41
18th Street Brewery,Two Frog Dubbel,9.28
18th Street Brewery,Deep Powder Winter Ale,6.27
18th Street Brewery,Hefeweizen,6.19
18th Street Brewery,BÃªte Blanche,5.11
18th Street Brewery,The Wise ESB,8.28
18th Street Brewery,ESB,8.31
18th Street Brewery,Winterhook Robust Winter Ale 2000,7
18th Street Brewery,Wild Salmon Pale Ale,5.14
18th Street Brewery,Skagit Brown Ale,6.86
Cambridge Brewing Company,Leviathan 2004,8.92
Cambridge Brewing Company,Organic Amber Ale,7.79
Cambridge Brewing Company,Ambrosia Maibock,6.79
Cambridge Brewing Company,Catalina Common Lager,8.74
Cambridge Brewing Company,Lighthouse Ale,8.08
Cambridge Brewing Company,Snow Melt Nitrogen Pale,5.5
Cambridge Brewing Company,Yo Ho Ho Christmas Ale 2001,8.61
Cambridge Brewing Company,Pyramid Apricot Weizen,7.92
Cambridge Brewing Company,Detonator Doppelbock,7.21
Cambridge Brewing Company,Luna Weizen,5.36
Carolina Brewery,N.W. Pale Ale,5.44
Carolina Brewery,Brown's Point ESB,6.42
Carolina Brewery,Navidad,8.15
Carolina Brewery,IPA,5.08
Carolina Brewery,Oktoberfest,6.67
Carolina Brewery,Oatmeal Stout,8.49
Carolina Brewery,Fauntleroy Stout,5.83
Carolina Brewery,Perseus Porter,6.94
Carolina Brewery,AK-47 Malt Liquor,8.24
Carolina Brewery,Puget Porter,8.1
Frog Level Brewing Company,Rat City IPA,5.4
Frog Level Brewing Company,Driftwood Ale,9.3
Frog Level Brewing Company,First Flight Amber Ale,9.38
Frog Level Brewing Company,Organic India Pale Ale,8.97
Frog Level Brewing Company,Hefeweizen,6.2
Frog Level Brewing Company,Icebreaker Barley Wine,6.32
Frog Level Brewing Company,Pale Ale,5.57
Frog Level Brewing Company,Barley Wine Ale,8.52
Frog Level Brewing Company,Trombipulator,6.25
Frog Level Brewing Company,Blacktop Porter,6.77
Wild Wolf Brewing Company,Snow Cap,9.45
Wild Wolf Brewing Company,Salmon Bay E.S.B.,7.81
Wild Wolf Brewing Company,Organic India Pale Ale,6.62
Wild Wolf Brewing Company,Wheat Beer,4.93
Wild Wolf Brewing Company,N.W. Pale Ale,5.19
Wild Wolf Brewing Company,Mt. Takhoma Blonde Ale,9.25
Wild Wolf Brewing Company,Firehouse Red,7.58
Wild Wolf Brewing Company,Industrial IPA,7
Wild Wolf Brewing Company,Possession Porter,6.33
Wild Wolf Brewing Company,Old Bawdy 2006,7.59
COOP Ale Works,Old Rip Oatmeal Stout,6.3
COOP Ale Works,Bock,6.87
COOP Ale Works,Admiral ESB,5.84
COOP Ale Works,Free Bike Amber,8.66
COOP Ale Works,Barleywine,8.42
COOP Ale Works,I.M. Pale,4.56
COOP Ale Works,Steamer Glide Stout,6.48
COOP Ale Works,Hefeweizen,4.9
COOP Ale Works,Zephyrus Pilsner,8.89
COOP Ale Works,Scotch brand Ale,7.05
Seventh Son Brewing Company,Best Bitter,6.85
Seventh Son Brewing Company,Maibock,7.56
Seventh Son Brewing Company,Frosty Frog,7.12
Seventh Son Brewing Company,Puget Brown Porter,6.06
Seventh Son Brewing Company,Jolly Roger,6.42
Seventh Son Brewing Company,BiFrÃ¶st Winter Ale,8.81
Seventh Son Brewing Company,Hefeweizen,7.31
Seventh Son Brewing Company,Curve Ball,8.79
Seventh Son Brewing Company,Avatar Jasmine IPA,5.26
Seventh Son Brewing Company,Pilsner,7.52
Oasis Texas Brewing Company,Belgian White,5.25
Oasis Texas Brewing Company,Dutch Girl Lager,6
Oasis Texas Brewing Company,Firehouse Red,6.05
Oasis Texas Brewing Company,Detonator Doppelbock,8.09
Oasis Texas Brewing Company,Irish Style Ale,6.03
Oasis Texas Brewing Company,Mt. Takhoma Blonde Ale,6.2
Oasis Texas Brewing Company,Puget Porter,5.91
Oasis Texas Brewing Company,Foster Child Australian Lager,5.49
Oasis Texas Brewing Company,Old Woody 2005,6.87
Oasis Texas Brewing Company,Hefeweizen,5.47
Vander Mill Ciders,Black Hook Porter,5.83
Vander Mill Ciders,No Doubt Stout,4.51
Vander Mill Ciders,Three Threads Porter,4.54
Vander Mill Ciders,Mudshark Porter,6.06
Vander Mill Ciders,Pale Ale,9.28
Vander Mill Ciders,The Immortal IPA,5.57
Vander Mill Ciders,The Wise ESB,7.22
Vander Mill Ciders,Thunder Head IPA,8.83
Vander Mill Ciders,Terminator Stout,8.89
Vander Mill Ciders,Wee Heavy Winter Ale,8.31
St. Julian Winery,Yellowjacket Pale Ale,8.69
St. Julian Winery,El Jefe Weizen Ale,8.1
St. Julian Winery,Sun Fest,9.03
St. Julian Winery,Imperial Stout,8.57
St. Julian Winery,Irish Stout,8.69
St. Julian Winery,Weissbier,9.06
St. Julian Winery,Zephyrus Pilsner,7.01
St. Julian Winery,AK-47 Malt Liquor,6.65
St. Julian Winery,Barleywine,5.59
St. Julian Winery,Portage Bay Pilsener,6.43
Pedernales Brewing Company,Imperial Stout,5.75
Pedernales Brewing Company,Imperial Stout,7.19
Pedernales Brewing Company,Heat Seeker Hefe,4.83
Pedernales Brewing Company,Imperial Stout,7.71
Pedernales Brewing Company,Flagship Red Alt Ale,4.61
Pedernales Brewing Company,Scotch brand Ale,6.45
Pedernales Brewing Company,Farm Frog,7.34
Pedernales Brewing Company,10 Squared (10Â²),5.77
Pedernales Brewing Company,Saison,6.61
Pedernales Brewing Company,IPA,7.27
Mother's Brewing,Baron Helles Bock,8.56
Mother's Brewing,Alki Ale,7.11
Mother's Brewing,Maibock,7.17
Mother's Brewing,Winterhook Robust Winter Ale 1993,8.3
Mother's Brewing,Old Rip Oatmeal Stout,5.57
Mother's Brewing,Golden,8
Mother's Brewing,No Doubt Stout,5.85
Mother's Brewing,Puget Porter,6.48
Mother's Brewing,Puget Porter,6.08
Mother's Brewing,BÃªte Blanche,6.51
Modern Monks Brewery,Black Mulligan Dublin Stout,8.19
Modern Monks Brewery,AK-47 Malt Liquor,6.94
Modern Monks Brewery,Imperial I.P.A.,9.29
Modern Monks Brewery,Drawbridge Blonde,5.68
Modern Monks Brewery,Bock,5.87
Modern Monks Brewery,Troll Porter,7.59
Modern Monks Brewery,Snow Melt Nitrogen Pale,4.74
Modern Monks Brewery,Lighthouse Ale,7.42
Modern Monks Brewery,Extra Special Bitter,9.03
Modern Monks Brewery,Krystal Weizen,8.34
Two Beers Brewing Company,Del Rio Lager,9.09
Two Beers Brewing Company,Snow Cap,8.15
Two Beers Brewing Company,IPA,4.67
Two Beers Brewing Company,Puget Brown Porter,7.41
Two Beers Brewing Company,Whistling Pig Hefeweizen,9.05
Two Beers Brewing Company,Portage Bay Pilsener,7.68
Two Beers Brewing Company,Steelie Brown Ale,7.48
Two Beers Brewing Company,India Pale Ale,6.11
Two Beers Brewing Company,Hefeweizen,8.81
Two Beers Brewing Company,ESB,6.54
Snake River Brewing Company,Pinnacle Peak Pale Ale,5.85
Snake River Brewing Company,Firkin IPA,7.04
Snake River Brewing Company,Imperial Stout,4.94
Snake River Brewing Company,Coal Creek Porter,5.17
Snake River Brewing Company,Red Card Lager,7.98
Snake River Brewing Company,Coal Creek Porter,6.1
Snake River Brewing Company,ESB,5.53
Snake River Brewing Company,Firehouse Red,7.99
Snake River Brewing Company,Irish Stout,9.45
Snake River Brewing Company,Dutch Girl Lager,6.17
Capital Brewery,Humbles Blond Ale,6.52
Capital Brewery,Mt. Takhoma Blonde Ale,6.38
Capital Brewery,Baron Pilsner,6.62
Capital Brewery,Nightwatch Dark Ale,7.66
Capital Brewery,Elysian Fields Pale Ale,8.25
Capital Brewery,Pyramid Amber Weizen,9.42
Capital Brewery,Black Hook Porter,5.23
Capital Brewery,IPA,4.79
Capital Brewery,Best Bitter,5
Capital Brewery,Mudshark Porter,8.24
Anthem Brewing Company,Cream Stout,9.13
Anthem Brewing Company,Imperial Stout,7.72
Anthem Brewing Company,Golden,6.27
Anthem Brewing Company,India Pale Ale,9.17
Anthem Brewing Company,Puget Brown Porter,8.14
Anthem Brewing Company,Irish Style Ale,8.06
Anthem Brewing Company,No Doubt Stout,9.39
Anthem Brewing Company,Peacemaker Porter,4.69
Anthem Brewing Company,Amber Weizen,5.5
Anthem Brewing Company,Baron Helles Bock,8.26
